kelime,sesli,anlam,hece
açıklayıcılık,aıaııı,Açıklayıcı olma durumu,6
açıklayış,aıaı,Açıklamak işi,4
açıklık politikası,aııoiiaı,"Siyasette açık, şeffaf olma; glasnost",8
açıklık,aıı,Açık olma durumu,3
açıklıkölçer,aııöe,Bir mikroskobun açıklığını ölçmeye yarayan alet,5
açıktan,aıa,Bir yerin uzağından,3
açıktan açığa,aıaaıa,"Belirgin olarak, göz göre göre",6
açıktan atama,aıaaaa,Açıktan atamak işi; açıktan tayin,6
açıktan tayin,aıaai,açıktan atama,5
açılama,aıaa,Güç bir sahnenin çeşitli açılardan çekiminin yapılması,4
açılım,aıı,Açılmak işi,3
açılış,aıı,Açılmak işi,3
açılış konuşması,aııouaı,"Herhangi bir kurum, kuruluş, mağaza vb.nin açılması sırasında yapılan konuşma",7
açılış töreni,aııöei,Bir açılışı kutlamak için yapılan toplantı,6
açılma,aıa,Açılmak işi; küşayiş,3
açılmak,aıa,Açık duruma gelmek veya getirilmek,3
açım,aı,Açmak işi,2
açımlama,aıaa,"Açımlamak işi; teşrih, şerh",4
açımlamak,aıaa,"Bir sorunu veya konuyu ele alıp en ince noktasına kadar gözden geçirerek anlatmak; şerh etmek, teşrih etmek",4
açımlanma,aıaa,Açımlanmak işi,4
açımlanmak,aıaa,Açımlama işine konu olmak,4
açındırma,aııa,Açındırmak işi; düzlemleştirme,4
açındırmak,aııa,Açınmasını sağlamak,4
açınım,aıı,Açınmak işi,3
açınma,aıa,Açınmak işi,3
açınmak,aıa,Uyurken üzerindeki yorgan ve örtüyü atmak,3
açınsama,aıaa,Açınsamak işi; istikşaf,4
açınsamak,aıaa,Bir yerin özelliklerini ortaya çıkarmak için araştırma ve inceleme yapmak; istikşaf etmek,4
açıortay,aıoa,"Bir açıyı, ölçüleri birbirine eşit olan iki açısal bölgeye ayıran doğru parçası",4
açıortay düzlemi,aıoaüei,İki düzlemli bir açıyı iki komşu ve eşit açıya bölen düzlem,7
açıölçer,aıöe,iletki,4
açısal,aıa,Açı ile ilgili; zaviyevi,3
açısal bölge,aıaöe,Açı ile iç bölgesinin birleşiminden oluşan düzlem parçası,5
açısal çap,aıaa,"Ay, Güneş vb. gök cisimlerinin çapını gözlemciden gören açı",4
açısal hız,aıaı,Hareket eden bir cismi duran bir noktaya birleştiren doğru parçasının birim zamanda taradığı açı,4
açısal ivme,aıaie,Açısal hızın birim zamanda değişen niceliği,5
açısal sapma,aıaaa,Belli bir açı düzeyinde gerçekleşen sapma,5
açısal uzaklık,aıauaı,İki cismi gözlemciye birleştiren doğrular arasındaki açı,6
açısal yol,aıao,Hareket eden cismin birim zamanda gözlemciye göre aldığı yol,4
açış,aı,Açmak işi,2
açış konuşması,aıouaı,"Bir töreni, bir toplantıyı başlatmak için yapılan konuşma",6
açıt,aı,"Bir duvarda kapı, pencere, kemerleme vb. bölümler için bırakılmış açıklık",2
açkı,aı,Bir cismin yüzeyi üzerinde sert bir madde veya bir araç sürterek onu düzleştirip parlatma,2
açkıcı,aıı,Açkı yapan kimse; perdahçı,3
açkılama,aıaa,Açkılamak işi,4
açkılamak,aıaa,Açkı ile parlatmak,4
açkılanma,aıaa,Açkılanmak işi,4
açkılanmak,aıaa,Açkı yapılmak; perdahlanmak,4
açkılatma,aıaa,Açkılatmak işi,4
açkılatmak,aıaa,Açkı işi yaptırmak,4
açkılı,aıı,Açkı yapılmış,3
açkısız,aıı,Açkı yapılmamış,3
açlık grevi,aıei,Kendisine veya başkalarına yapılan bir haksızlığı protesto için bir kimsenin veya grubun aç durarak gösterdiği tepki,4
açlık,aı,Aç olma durumu,2
açma,aa,Açmak işi; teftih,2
açmacı,aaı,Açma yapan veya satan kimse,3
açmacılık,aaıı,Açmacının yaptığı iş,4
açmak,aa,Bir şeyi kapalı durumdan açık duruma getirmek,2
açmalık,aaı,Kiri çıkarmak veya eşyayı iyice temizlemek için kullanılan her türlü madde,3
açmaz,aa,Satranç oyununda şahı koruyan taşlardan birinin yerinden oynatılamaması durumu,2
açmaz halatı,aaaaı,"Gemilerin limana bağlanması ve sahilden esecek rüzgârla rıhtımdan uzaklaşmaması için baş, kıç çizgisine dikey olarak bağlanan kısa halat",5
açmazlık,aaı,Açmaz olma durumu,3
açtırma,aıa,Açtırmak işi,3
açtırmak,aıa,Açma işini yaptırmak,3
ad,a,"Bir kimseyi, bir şeyi anlatmaya, tanımlamaya, açıklamaya, bildirmeye yarayan söz; isim, nam",1
ad bilimi,aiii,"Dil biliminin özel adlar üzerinde duran ve onları köken bilgisi, tarihsel gelişim, dil ve kültür sorunları açısından inceleyen dalı",4
ad cümlesi,aüei,"Yüklemi ad soyundan olan veya ek-fiille kurulan cümle; isim cümlesi, ad tümcesi",4
ad çekimi,aeii,Adlara durum ve iyelik eklerinin getirilmesi; isim çekimi,4
ad çekme,aee,kura,3
ad durumu,auuu,"Adın doğrudan doğruya veya ekler ve edatlar aracılığıyla fiille ilgi kurması durumu; isim durumu, isim hâli",4
ad gövdesi,aöei,"Ad veya fiil köklerinden eklerle türetilmiş ancak günümüzde kökü ve eki tanınamayacak biçimde bütünleşmiş ad; isim gövdesi: burun, ayak; kayır-mak, esirge-mek vb",4
ad kökü,aöü,"Bir adın yapı bakımından bölünemeyen, anlamlı en küçük parçası; isim kökü",3
ad tamlaması,aaaaı,"İyelik ilgisi ile birbirine bağlanmış, iki veya daha çok kelime ile kurulmuş, belirtili veya belirtisiz biçimleri olan tamlama; isim tamlaması: bahçe kapısı, bahçenin duvarı, bahçe duvarının taşları vb",5
ad,a,"Bir kimseyi, bir şeyi anlatmaya, tanımlamaya, açıklamaya, bildirmeye yarayan söz; isim, nam",1
ada,aa,Deniz veya göl suları ile çevrili kara parçası; cezire,2
ada balığı,aaaıı,amber balığı,5
ada çayı,aaaı,"Ballıbabagillerden, yurdumuzda çok yetişen tüylü ve beyazımtırak yaprakları olan güzel kokulu bir bitki; dağ çayı (Salvia officinalis)",4
ada soğanı,aaoaı,"Zambakgillerden, soğanından ilaç olarak yararlanılan birtakım maddeler elde edilen çok yıllık bir bitki; aksoğan (Urginea maritima)",5
ada tavşanı,aaaaı,"Evcil cinsleri de olan, tavşana yakın bir kemirici memeli; yaban tavşanı (Oryctolagus cuniculus)",5
ada tepe,aaee,Aşınma sonucu oluşmuş düzlük alanlar üzerinde bir ada gibi yükselen tepe,4
adabımuaşeret,aaıuaee,görgü kuralları,7
adacık,aaı,Küçük ada,3
adacyo,aao,"Yavaş, ağır bir biçimde çalınan beste",3
adak,aa,Adanılan şey; nezir,2
adaklama,aaaa,Adaklamak işi,4
adaklanma,aaaa,Adaklanmak işi,4
adaklanmak,aaaa,Adına adak adanmak,4
adaklı,aaı,Bingöl iline bağlı ilçelerden biri,3
Adaklı,aaı,Bingöl iline bağlı ilçelerden biri,3
adaklık,aaı,Adak adanan yer,3
adaksız,aaı,"Adağı olmayan, adak adamamış olan",3
Adalar,aaa,İstanbul iline bağlı ilçelerden biri,3
adale,aae,kas,3
adaleli,aaei,kaslı,4
adalesiz,aaei,kassız,4
adalet,aae,"Hak ve hukuka uygunluk, hakkı gözetme",3
adalet kapısı,aaeaıı,Hak ve hukukun aranacağı yer,6
adalet mahkemesi,aaeaeei,adliye mahkemesi,7
adalet örgütü,aaeöüü,adliye teşkilatı,6
adalet sarayı,aaeaaı,Mahkemelerin bulunduğu büyük yapı,6
adaletli,aaei,adil,4
adaletlilik,aaeii,Adaletli olma durumu,5
adaletsiz,aaei,Adalete aykırı düşen (şey),4
adaletsizlik,aaeii,Adalete aykırı olma durumu,5
adalı,aaı,Ada halkından olan (kimse),3
adam,aa,insan,2
adam adama,aaaaa,Gölge gibi izleyerek,5
adam adama savunma,aaaaaaua,"Futbol, basketbol, hentbol vb. takım oyunlarında her bir rakip oyuncunun birer oyuncu tarafından kollanmasına, rahat hareket etmesinin engellemesine dayalı savunma biçimi",8
adam başına,aaaıa,"Her bir bireye, her birine; kişi başına, adam başı",5
adam boyu,aaou,Yaklaşık bir adam boyunda olan,4
adam kıtlığında,aaıııa,adam yokluğunda,6
adam sarrafı,aaaaı,İnsanların karakterini çabuk anlayacak duruma gelmiş kimse; insan sarrafı,5
adam sendeci,aaeei,"Önemsemeyen, vurdumduymaz davranışlar içinde olan",5
adam sendecilik,aaeeii,Adam sendeci olma durumu,6
adam yokluğunda,aaouua,İşe yarar kimselerin bulunmadığı durumda; adam kıtlığında,6
adama,aaa,Adamak işi,3
adamak,aaa,Bir dileğin gerçekleşmesi amacıyla kutsal olduğuna inanılan bir güce niyette bulunmak; nezretmek,3
adamakıllı,aaaıı,"Gereğinden çok; bir güzel, bir temiz",5
adamca,aaa,İnsana yaraşır bir biçimde; adamcasına,3
adamcağız,aaaı,Kendisine sevgi veya acıma duyulan erkek,4
adamcasına,aaaıa,adamca,5
adamcık,aaı,Kendisine acınılan kimse,3
adamcıl,aaı,"İnsandan ürkmeyen, insana alışmış olan, insana sokulan, sıcakkanlı, munis",3
adamcıllık,aaıı,Adamcıl olma durumu,4
adamkökü,aaöü,adamotu,4
adamlık,aaı,insanlık,3
adamotu,aaou,"Patlıcangillerden, geniş yapraklı, mavi çiçekli, meyveleri sarı, çok yıllık bir bitki; kankurutan, adamkökü, abdüsselam otu (Mandragora autumnalis)",4
adamsız,aaı,Herhangi biri olmadan,3
adamsızlık,aaıı,Adamsız olma durumu,4
Adana,aaa,Türkiye'nin Akdeniz Bölgesi'nde yer alan illerinden biri,3
Adana kebabı,aaaeaı,Elde kıyılan kıymaya bolca acı biber katıldıktan sonra hazırlanan harcın şişlere geçirilerek kömür ateşinde pişirilmesiyle yapılan bir yemek türü,6
adanma,aaa,Adanmak işi,3
adanmak,aaa,Adama işine konu olmak,3
adap erkân,aae,yol yordam,3
adap,aa,töre,2
Adapazarı,aaaaı,Sakarya iline bağlı ilçelerden biri,5
adaptasyon,aaao,uyarlama,4
adapte,aae,Uyarlanmış,3
adaptör,aaö,Bir aletin çapları birbirinden farklı olan parçalarından birini ötekine geçirebilmek için yararlanılan bağlayıcı,3
adaş,aa,Adları aynı olanlardan her biri,2
adaşlık,aaı,"Adaş olma, aynı adı taşıma durumu",3
adatma,aaa,Adatmak işi,3
adatmak,aaa,Adama işini yaptırmak,3
adavet,aae,düşmanlık,3
aday,aa,"Bir görev, bir iş için kendini ileri süren veya başkaları tarafından ileri sürülen kimse",2
aday adayı,aaaaı,"Herhangi bir işi yapmak, bir görevi üstlenmek için adaylık aşamasını kazanmak amacıyla başvuran kimse",5
adayavrusu,aaauu,İki veya üç çifte kürekli küçük balıkçı teknesi,5
adaylık,aaı,Aday olma durumu; namzetlik,3
adcı,aı,Adcılık öğretisine bağlı (kimse); isimci,2
adcılık,aıı,"Kavramların gerçek varlıklar olduğunu kabul eden, kavram gerçekliğine karşıt olarak tümel kavramların yalnızca nesnelerin adları olduğunu ileri süren görüş; isimcilik, nominalizm",3
addedilme,aeie,sayılma,4
addedilmek,aeie,sayılmak,4
addetme,aee,sayma,3
addetmek,aee,saymak,3
addolunma,aoua,sayılma,4
addolunmak,aoua,sayılmak,4
adedî,ae,sayıca,2
adedimürettep,aeiüee,tam sayı,6
âdem,e,yokluk,1
adem,ae,yokluk,2
âdem evladı,eeaı,insan evladı,4
âdembaba,eaa,"Parasız, aç, en kötü durumdaki mahkûm",3
âdemelması,eeaı,Erkeklerde boynun ön tarafındaki gırtlak çıkıntısı,4
ademimerkeziyet,aeieeie,yerinden yönetim,7
ademimerkeziyetçi,aeieeiei,yerinden yönetimci,8
ademimerkeziyetçilik,aeieeieii,yerinden yönetimcilik,9
ademiyet,aeie,insanlık,4
âdemiyet,eie,insanlık,3
âdemoğlu,eou,insan,3
adenit,aei,ak kan bezi yangısı,3
adese,aee,mercek,3
âdet,e,sayı,1
âdet edinmek,eeie,bir şeyi alışkanlık ve huy durumuna getirmek,4
âdet olmak,eoa,öteden beri yapılır olmak,3
adet,ae,sayı,2
âdeta,ea,neredeyse,2
adetçe,aee,sayıca,3
adezyon kuvveti,aeouei,Yan yana duran veya sürtünen iki cismin molekülleri arasındaki çekiş kuvveti,6
adı belirsiz,aıeii,"Ünü olmayan, tanınmayan, kim ve ne olduğu bilinmeyen",5
adı sanı,aıaı,Bir kimsenin kimliği,4
adı üstünde,aıüüe,Adından da belli olduğu gibi,5
adıl,aı,zamir (I),2
adım,aı,Yürümek için yapılan ayak atışlarının her biri,2
adım adım,aıaı,yavaş yavaş,4
adımbaşı,aıaı,"Birbirine yakın yerlerde, sık aralıklarla",4
adımlama,aıaa,Adımlamak işi,4
adımlamak,aıaa,Adımla ölçmek,4
adımlık,aıı,Adım uzunluğunda olan,3
adımsayar,aıaa,Yürüme sırasında başlangıç noktasından bitiş noktasına kadar atılan adımı ve mesafeyi ölçen alet veya bilişim uygulaması; pedometre,4
adına,aıa,Bir şeyin veya bir kimsenin namına; hesabına,3
Adıyaman,aıaa,Türkiye'nin Güneydoğu Anadolu Bölgesi'nde yer alan illerinden biri,4
adıyla sanıyla,aıaaıa,Bilinen ün ve niteliğiyle; ismiyle cismiyle,6
adi,ai,"Sıradan, hiçbir özelliği olmayan",2
adi adım,aiaı,"Adımda uygunluk, beraberlik gerektirmeyen ve grup olarak yapılan bir yürüyüş türü",4
adi defter,aiee,"Bir işletmenin veya ticarethanenin yaptığı işlemlerinin, muhasebe kayıtlarının geçirildiği ticari defter",4
adi kesir,aiei,bayağı kesir,4
adi suçlu,aiuu,Basit suçları işleyen kimse,4
adil,ai,"Adaletle iş gören, adaletten, doğruluktan ayrılmayan, hakkı yerine getiren; adaletli",2
adilane,aiae,hakça,4
Adilcevaz,aiea,Bitlis iline bağlı ilçelerden biri,4
adileşme,aiee,Adileşmek durumu,4
adileşmek,aiee,Adi bir duruma girmek,4
adileştirme,aieie,Adileştirmek işi,5
adileştirmek,aieie,Adileşmesine yol açmak,5
adilik,aii,aşağılık,3
adillik,aii,Adil olma durumu,3
adisyon,aio,hesap,3
adlandırılma,aaııa,Adlandırılmak işi; isimlendirilme,5
adlandırılmak,aaııa,Adlandırma işi yapılmak; isimlendirilmek,5
adlandırma,aaıa,Adlandırmak işi; isimlendirme,4
adlandırmak,aaıa,"Çağırmak veya anmak için bir canlıya, bir yere, bir şeye ad vermek; ad koymak, ad takmak, ad vermek, anmak, isim koymak, isim takmak, isim vermek, isimlendirmek, tesmiye etmek",4
adlanma,aaa,Adlanmak durumu; isimlenme,3
adlanmak,aaa,Kendisine ad verilmek; isimlenmek,3
adlaşma,aaa,Adlaşmak durumu; isimleşme,3
adlaşmak,aaa,Ad durumuna gelmek; isimleşmek,3
adlaştırma,aaıa,Adlaştırmak işi; isimleştirme,4
adlaştırmak,aaıa,Ad durumuna getirmek; isimleştirmek,4
adlı,aı,... adını taşıyan; isimli,2
adlı sanlı,aıaı,ünlü,4
adli,ai,Adaletle ilgili,2
adli makam,aiaa,Adalet işlerinin görüldüğü ve sonuca bağlandığı yer; adli merci,4
adli merci,aiei,adli makam,4
adli polis,aioi,Adliye içerisinde güvenliği sağlayıp cumhuriyet savcısına bağlı olarak çalışan kolluk gücü,4
adli polislik,aioii,Adli polisin yaptığı iş,5
adli sicil,aiii,"Bir kimsenin adli bir suç işleyip işlemediği, böyle bir suçtan dolayı kesinleşmiş bir hâkim kararı bulunup bulunmadığı hususunda tutulan kayıt",4
adli tabip,aiai,Adli tıpta görevli doktor,4
adli tabiplik,aiaii,Adli tabip olma durumu,5
adli tatil,aiai,"Kanunda belirlenen durumların dışında, hiçbir adli işlemin yapılmadığı süre",4
adli tıp,aiı,"Hekimliğin ölüm ve yaralanma vakalarında, şüpheli durumlarda veya hukuki süreçlerle ilgili olan tıbbi konuların aydınlatılması sırasında kanıtları bilimsel yolla toplayıp analiz eden dalı",3
adli yıl,aiı,Mahkemelerin bir yıl içindeki çalışma süresi,3
adli zabıta,aiaıa,Bir suç sonrası sanığı ve suç delillerini adli yetkililere sunan kolluk kuvveti,5
adliye,aie,Hukuk ve adalet işlerini gören devlet kurumu,3
adliye mahkemesi,aieaeei,"Anayasa Mahkemesi, genel mahkemeler, idari mahkemeler dışında kalan ve denetim mahkemesi olan Yargıtay ile hüküm mahkemeleri; adalet mahkemesi",7
adliye teşkilatı,aieeiaı,"Yargı organları ve bu organların birbirleriyle olan ilişkilerini, derecelerini, görev ve yetkilerini düzenleyen ve yürüten sistemin bütünü; adalet örgütü",7
adrenalin,aeai,"Hekimlikte damarları daraltma, bronşları açma, kanamaları kesme vb. amaçlarla kullanılan, kan şekerinin yükselmesine yol açan böbrek üstü bezlerinin salgısı",4
adres,ae,"Herhangi bir kişi veya mekânın bulunduğu şehir, ilçe, mahalle, cadde, sokak, kapı veya daire numarasının belirtildiği bilgi; bulunak",2
adres defteri,aeeei,Adreslerin kaydedildiği defter; adres rehberi,5
adres kartı,aeaı,Üzerinde iletişim bilgilerinin yer aldığı kart,4
adres kitabı,aeiaı,Genellikle belli bir iş veya meslekte olanların iş ve ev adreslerini toplu olarak gösteren kitap,5
adres makinesi,aeaiei,Posta gönderilerinin üzerine adres bilgilerini basan alet,6
adres rehberi,aeeei,adres defteri,5
adsız,aı,Adı olmayan; isimsiz,2
adsız parmak,aıaa,yüzük parmağı,4
adsız sansız,aıaı,Adı bilinmeyen,4
adsızlık,aıı,Adsız olma durumu; isimsizlik,3
aerobik solunum,aeoiouu,Hücrede yalnız moleküler oksijenin kullanıldığı bir solunum şekli,7
aerobik,aeoi,Sağlıklı bir vücuda sahip olmak için tempolu müzik eşliğinde yapılan bir jimnastik türü,4
aerodinamik,aeoiai,Hareket hâlinde olan bir cisim üzerinde havanın yarattığı etkiyi inceleyen bilim,6
aeroloji,aeooi,Atmosferin üst katmanlarını inceleyen bir bilim dalı,5
aerolojik,aeooi,Aeroloji ile ilgili,5
af,a,"Bir suç işleyeni, kusur veya hata yapanı bağışlama",1
afacan,aaa,Zeki ve yaramaz (çocuk),3
afacanlaşma,aaaaa,Afacanlaşmak durumu,5
afacanlaşmak,aaaaa,"Yaramazlaşmak, yaramaz, ele avuca sığmaz duruma gelmek",5
afacanlık,aaaı,Afacan olma durumu,4
afak,aa,Ufuklar,2
afaki,aai,"Gereksiz, önemsiz (söz)",3
afakilik,aaii,nesnellik,4
afal,aa,"Şaşkın, dağınık, ne yapacağını bilmez",2
afallama,aaaa,Afallamak durumu,4
afallamak,aaaa,Şaşkınlıktan sersemleşmek,4
afallaşma,aaaa,Afallaşmak durumu,4
afallaşmak,aaaa,"Şaşkınlık içinde kalmak, şaşırıp bir şey yapamaz olmak",4
afallaştırma,aaaıa,Afallaştırmak işi,5
afallaştırmak,aaaıa,"Şaşkınlık içinde bırakmak, birini şaşırıp bir şey yapamaz duruma sokmak",5
afallatma,aaaa,Afallatmak işi,4
afallatmak,aaaa,Şaşkınlığa düşürerek sersemleştirmek,4
afat,aa,Afetler,2
afazi,aai,söz yitimi,3
aferin,aei,"Övme, takdir, beğenme vb. duyguları belirtmek için söylenen söz",3
aferist,aei,dalavereci,3
afet,ae,Çeşitli doğa olaylarının sebep olduğu yıkım,2
afet istasyonu,aeiaou,"Afet zamanında yardım ve kurtarma malzemelerinin kolay dağıtılabilmesi için mahallelere yerleştirilen, ısıya, ışığa ve suya dayanaklı konteyner",6
afetzede,aeee,"Afete uğramış, afet görmüş kimse",4
affedilme,aeie,bağışlanma,4
affedilmek,aeie,bağışlanmak,4
affetme,aee,bağışlama,3
affetmek,aee,bağışlamak,3
affettirme,aeie,bağışlatma,4
affettirmek,aeie,bağışlatmak,4
affettuoso,aeuoo,Bir parça yumuşak ve duygulu bir biçimde çalınarak,5
affeyleme,aeee,bağışlama,4
affeylemek,aeee,bağışlamak,4
affolunma,aoua,bağışlanma,4
affolunmak,aoua,bağışlanmak,4
Afgan,aa,Afganistan’da yaşayan halk veya bu halkın soyundan olan kimse; Peştu,2
afi,ai,Karşıdakini etkilemek amacıyla sergilenen abartılı davranış,2
afif,ai,iffetli (erkek),2
afife,aie,iffetli (kadın),3
afili,aii,Karşıdakini etkilemek amacıyla abartılı davranış sergileyen,3
afis,ai,Gümüş balığının küçüğü,2
afiş,ai,"Bir şeyi duyurmak veya tanıtmak için hazırlanan, kalabalığın görebileceği yere asılmış, genellikle resimli duvar ilanı; ası",2
afişçi,aii,Afiş yapan veya asan kimse,3
afişçilik,aiii,Afişçinin yaptığı iş,4
afişe,aie,"""Açığa vurmak, belirtmek; duyurmak, dile düşürmek, reklam etmek; açıklamak"" anlamlarındaki afişe etmek, ""bir kimse bilinmeyen bir yönüyle tanınmak"" anlamındaki afişe olmak birleşik fiillerinde geçen bir söz",3
